case_id,E,thickness,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
one_layer_random_000,6.1210399,0.13532762,12.146958,55.659082,0.02521641332,44.859161,4.445966,52.848920,0.009262142905,44.701443,-0.04490944505,-0.06972038531,55.255341,-0.2075944727,-0.2990353034,1.854895,0.019778,2601
one_layer_random_001,3.5461155,0.13316955,11.170951,51.525267,0.04157696614,42.031209,4.143479,48.852061,0.01547956697,41.873650,-0.08061035327,-0.1214227045,50.640040,-0.3721882483,-0.523892034,1.769902,0.003546,2601
one_layer_random_002,1.043752,0.054062078,9.159576,43.373133,1.085669176,46.564708,3.647811,43.827041,0.4346128454,46.828664,-2.579550858,-1.492713476,42.145326,-11.85283201,-6.333595341,1.369729,0.002806,2601
one_layer_random_003,5.7576975,0.11274856,4.497471,21.429366,0.01542884655,19.285595,2.024854,20.639330,0.006994311289,19.153447,-0.07487870921,-0.0895250067,19.589569,-0.3430560867,-0.3967042632,1.624464,0.003592,2601
one_layer_random_004,4.7130957,0.1430991,14.749961,67.048329,0.03491683317,53.226338,5.342563,63.560611,0.0126789958,53.092764,-0.05096736386,-0.08524701157,67.292350,-0.2367249258,-0.3613842345,1.423423,0.002596,2601
one_layer_random_005,6.4854875,0.088155563,2.745504,12.679951,0.01550127609,15.744113,1.631220,14.946069,0.009286714145,16.423453,-0.1235331654,-0.1079659184,12.642515,-0.5646057834,-0.4757136091,1.755297,0.004896,2601
one_layer_random_006,7.3912276,0.078471471,4.898062,23.430135,0.03257889743,26.890771,2.361585,24.841421,0.01583171068,27.460246,-0.145427356,-0.1128341518,22.467791,-0.6651385136,-0.4862776391,1.441044,0.002878,2601
one_layer_random_007,7.953434,0.070065614,6.473977,31.509397,0.05323534924,35.342626,2.876613,32.509511,0.02382269318,35.812105,-0.179575058,-0.1263945304,29.664610,-0.8222974743,-0.531675954,1.811278,0.010616,2601
one_layer_random_008,2.7996073,0.085926628,3.505347,16.136824,0.04891973463,19.055045,1.891099,18.059404,0.02661024576,19.697824,-0.3053177347,-0.2560743295,16.188791,-1.395574801,-1.129647394,1.908320,0.003557,2601
one_layer_random_009,2.2817562,0.10373165,1.758717,8.254260,0.01873028906,9.171940,1.151138,9.470136,0.01235365487,9.102101,-0.2328453055,-0.2456839271,5.548531,-1.064997197,-1.098579544,1.984857,0.003166,2601
one_layer_random_010,4.6683454,0.11748134,5.928625,28.113525,0.02267205169,24.657430,2.466310,26.800256,0.009491463053,24.501864,-0.08336257127,-0.1052744589,26.297082,-0.3824167085,-0.4645889866,1.807740,0.007103,2601
one_layer_random_011,9.9620351,0.065371737,7.135408,35.026584,0.05569814208,39.102007,3.071692,35.852910,0.02413525124,39.510330,-0.1703191532,-0.1147301936,32.666469,-0.7805880622,-0.4753624665,1.928533,0.003201,2601
one_layer_random_012,4.6176998,0.050273243,9.908465,46.094269,0.3154414493,48.822122,3.852862,46.439869,0.123230436,49.055410,-0.692147808,-0.3764662038,45.611471,-3.183555242,-1.629276018,1.105857,0.002557,2601
one_layer_random_013,8.8369182,0.11793427,6.385181,29.958235,0.01277856531,25.406442,2.640217,28.666853,0.005317049818,25.247692,-0.04361972646,-0.05610364521,28.664121,-0.2001284866,-0.24639465,1.624305,0.002714,2601
