case_id,E,thickness,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
one_layer_random_000,6.1210399,0.13532762,20.197089,94.505048,0.04192804067,96.090639,8.660367,96.686214,0.01804187445,96.724845,-0.04490944505,-0.002047567641,95.578217,-0.2075944727,-0.00993502824,1.859076,0.013942,2601
one_layer_random_001,3.5461155,0.13316955,18.977340,90.031691,0.07063142917,92.903486,8.161354,92.235311,0.03048989568,93.591922,-0.08061035327,-0.008343420419,89.650625,-0.3721882483,-0.02865608411,1.756528,0.004819,2601
one_layer_random_002,1.043752,0.054062078,20.983141,97.253141,2.487096498,98.011019,7.876397,97.392711,0.9384211748,98.074358,-2.579550858,-0.08991542798,96.576457,-11.85283201,-0.2357505193,1.352742,0.002861,2601
one_layer_random_003,5.7576975,0.11274856,20.730419,95.935334,0.0711169649,97.085302,8.526438,97.128293,0.02945227835,97.628478,-0.07487870921,-0.002885546941,96.196009,-0.3430560867,-0.01138498946,1.596726,0.006627,2601
one_layer_random_004,4.7130957,0.1430991,18.909020,90.100803,0.04476236358,92.987336,8.275051,92.779539,0.01963839234,93.628696,-0.05096736386,-0.004943847118,90.354987,-0.2367249258,-0.01859226095,1.423108,0.002934,2601
one_layer_random_005,6.4854875,0.088155563,21.003024,96.852826,0.1185842883,97.734515,8.338622,97.412036,0.04747268737,98.005603,-0.1235331654,-0.004323815877,96.591690,-0.5646057834,-0.01335812131,1.756377,0.002783,2601
one_layer_random_006,7.3912276,0.078471471,21.093420,97.257837,0.1403004625,98.024971,8.267318,97.668804,0.05542285009,98.221043,-0.145427356,-0.004630685975,96.935523,-0.6651385136,-0.01343943562,1.433687,0.003033,2601
one_layer_random_007,7.953434,0.070065614,21.125329,97.479043,0.173713043,98.182361,8.177834,97.787297,0.06772480721,98.327580,-0.179575058,-0.005439113773,97.095065,-0.8222974743,-0.01510462689,1.822446,0.008883,2601
one_layer_random_008,2.7996073,0.085926628,20.462101,94.947831,0.2855639203,96.354987,8.091082,95.463752,0.113852131,96.612237,-0.3053177347,-0.01840264384,94.014018,-1.395574801,-0.05151543639,1.876766,0.003473,2601
one_layer_random_009,2.2817562,0.10373165,19.974390,93.172939,0.212726692,95.089747,8.125337,94.150655,0.08719858052,95.571476,-0.2328453055,-0.01804094534,92.257258,-1.064997197,-0.05427553917,1.984078,0.003509,2601
one_layer_random_010,4.6683454,0.11748134,20.248066,94.272665,0.07743198866,95.899397,8.400103,95.676618,0.0323273536,96.497525,-0.08336257127,-0.004796556614,94.263979,-0.3824167085,-0.01728111546,1.839146,0.006249,2601
one_layer_random_011,9.9620351,0.065371737,21.264527,98.043957,0.1659883597,98.590344,8.170036,98.308240,0.06419453373,98.713063,-0.1703191532,-0.003993409666,97.782850,-0.7805880622,-0.01112433128,1.949102,0.003541,2601
one_layer_random_012,4.6176998,0.050273243,21.142030,97.891406,0.6730682048,98.473489,7.871614,98.009774,0.2517667217,98.528441,-0.692147808,-0.01844152239,97.388638,-3.183555242,-0.04859732653,1.089881,0.002724,2601
one_layer_random_013,8.8369182,0.11793427,21.750012,99.668635,0.04352797069,99.751777,9.023218,100.995224,0.01817157286,100.281459,-0.04361972646,0.0004671466672,101.306199,-0.2001284866,-0.002384882789,1.612441,0.003896,2601
one_layer_random_014,4.3635614,0.11676964,20.163021,93.957850,0.08372983937,95.672890,8.357024,95.344654,0.03492732079,96.269343,-0.09054221453,-0.00560165604,93.824280,-0.4152643513,-0.01959824489,1.086755,0.002502,2601
one_layer_random_015,8.0580403,0.097304737,21.354424,98.074076,0.07561552884,98.616162,8.587529,98.809307,0.03065706458,98.967642,-0.0774653536,-0.001307243769,98.433565,-0.3540977151,-0.005838166867,1.557884,0.002782,2601
one_layer_random_016,9.070057,0.13853231,21.709301,100.104893,0.02879090913,100.043936,9.375151,102.433130,0.01247241692,100.616506,-0.02863677622,0.0007527772457,103.192290,-0.1326201566,-0.002226352979,1.068681,0.002611,2601
one_layer_random_017,4.7153756,0.12621565,19.931333,93.298743,0.06340332197,95.217260,8.406732,95.082091,0.02687309775,95.884529,-0.06912483381,-0.004537231456,93.459255,-0.3181087934,-0.01701053893,1.392182,0.002426,2601
one_layer_random_018,2.8791528,0.10599682,20.054357,93.467001,0.1603714623,95.304877,8.179308,94.504534,0.06589327816,95.819316,-0.1747814072,-0.01272316857,92.724152,-0.7996839102,-0.0392734406,1.474737,0.003417,2601
one_layer_random_019,8.1715335,0.12920219,21.414801,98.721184,0.03716688392,99.074019,9.067373,100.546122,0.0158037492,99.687924,-0.03766374508,0.0001553369597,100.703645,-0.1735569921,-0.003569322692,2.208586,0.004394,2601
one_layer_random_020,7.9573795,0.059923142,21.145713,97.716766,0.2561622439,98.350393,8.040780,97.924629,0.09798728021,98.444826,-0.2640160978,-0.007451688445,97.278213,-1.211414551,-0.01998357524,2.102967,0.003022,2601
one_layer_random_021,2.2084693,0.08441418,20.406230,94.762069,0.3776193908,96.219266,8.051053,95.249763,0.1502112418,96.462888,-0.4048115324,-0.02553649338,93.731481,-1.85051028,-0.07053415088,1.042450,0.002920,2601
one_layer_random_022,9.7147012,0.11963695,22.086523,100.912719,0.03882418438,100.635102,9.194405,102.297520,0.01625979429,101.158451,-0.03829234349,0.001035144613,103.022792,-0.1757822409,-0.001184833483,1.255762,0.002457,2601
one_layer_random_023,6.0514796,0.069617361,20.968269,96.929036,0.2302872506,97.782954,8.107708,97.225184,0.08967366204,97.924777,-0.2398231115,-0.009004490261,96.353469,-1.098265441,-0.02445515692,1.390014,0.002448,2601
one_layer_random_024,4.5671403,0.055337771,21.062426,97.508322,0.5394431235,98.196967,7.931288,97.667646,0.204222421,98.269283,-0.5575699662,-0.01748028276,96.939252,-2.561163338,-0.04617862136,2.773135,0.005103,2601
one_layer_random_025,6.7376654,0.13508933,20.536593,95.724359,0.03889212502,96.954050,8.797141,97.876042,0.01671922168,97.577503,-0.04097439465,-0.001244773871,97.159692,-0.1893796337,-0.007575123206,1.819221,0.003040,2601
one_layer_random_026,8.7340471,0.12508264,21.708261,99.671770,0.03810062781,99.749632,9.120855,101.296373,0.01608995004,100.325927,-0.03815662794,0.0005340403851,101.698335,-0.1755121145,-0.00248361853,1.163937,0.003423,2601
one_layer_random_027,3.5621546,0.087927208,20.546608,95.233420,0.2126018588,96.563143,8.148271,95.787290,0.08501486994,96.838309,-0.2263924977,-0.01268543621,94.441315,-1.034729709,-0.03626335993,1.450053,0.002736,2601
one_layer_random_028,3.2884498,0.10774964,20.111478,93.680499,0.1351731567,95.461004,8.220112,94.766438,0.05565267475,95.988549,-0.146857184,-0.01018331968,93.069524,-0.6721194705,-0.03211573907,1.935490,0.187772,2601
one_layer_random_029,1.8726671,0.09224191,20.200056,93.980754,0.3522073291,95.659948,8.059740,94.635186,0.1417017318,95.981298,-0.3815085853,-0.02711205838,92.910992,-1.743595771,-0.07709276148,2.169249,0.003278,2601
one_layer_random_030,9.9442763,0.077470756,21.387036,98.310352,0.1092181329,98.786958,8.377460,98.717833,0.04311577324,98.974997,-0.1116421109,-0.002048558084,98.319860,-0.5106744761,-0.006559501784,1.786483,0.003339,2601
one_layer_random_031,9.710551,0.11851606,22.073165,100.842448,0.03971959506,100.586317,9.171005,102.183356,0.01660520551,101.103194,-0.03921345699,0.001006568958,102.872987,-0.1799451737,-0.00120772822,1.685675,0.003201,2601
one_layer_random_032,7.330316,0.1024879,21.226793,97.629168,0.07252601517,98.296359,8.596628,98.489035,0.02960137527,98.719091,-0.07471288315,-0.001563133353,98.006992,-0.3416720407,-0.006910057669,1.214258,0.004809,2601
one_layer_random_033,2.2517327,0.066621162,20.736946,96.155591,0.6831810028,97.219458,7.972691,96.405492,0.2644280828,97.342499,-0.7190151876,-0.03459110673,95.271794,-3.294511103,-0.09160526871,1.998707,0.003341,2601
one_layer_random_034,5.8869823,0.14840677,19.274430,91.641127,0.03360959471,94.094292,8.523564,94.596874,0.01488769299,94.690027,-0.0374011416,-0.002782328902,92.778810,-0.1743740006,-0.01217190097,1.307847,0.005605,2601
