case_id,e1,e2,e3,t1,t2,t3,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
random_interior_000,6.1210399,8.6794858,3.5461155,0.086535641,0.020388906,0.023249662,4.706124,17.857541,0.01090186483,12.594799,2.167685,18.627718,0.005028155487,15.324639,-0.05019185327,-0.04195529469,16.427340,-0.2316527408,-0.2608289378,1.154702,0.002816,2601
random_interior_001,5.7576975,6.64737,4.7130957,0.094479279,0.068759888,0.05052445,5.176841,20.326330,0.004530216976,10.684680,2.328564,21.502947,0.0020377096,11.042419,-0.01727717224,-0.01299414758,24.790125,-0.08750929424,-0.08473004573,1.232587,0.002250,2601
random_interior_002,7.3912276,3.5624324,7.953434,0.036052491,0.035996509,0.048741302,5.186223,19.573657,0.0133660842,11.308552,2.150055,19.725893,0.00557256603,11.283033,-0.05548809028,-0.04244510894,23.506356,-0.2577228976,-0.2524751715,1.357093,0.002074,2601
random_interior_003,2.2817562,5.8358486,4.6683454,0.073985075,0.099662534,0.032297389,6.272408,24.006555,0.008396872634,12.569631,2.843249,24.267234,0.003806257813,12.660424,-0.02774075845,-0.01983362893,28.504699,-0.1338700073,-0.1219911576,0.870273,0.002029,2601
random_interior_004,4.6176998,1.0245919,8.8369182,0.074347417,0.049898323,0.073415714,8.627440,36.670119,0.01295576452,29.285179,3.500949,36.513110,0.005267181996,29.376701,-0.03009560904,-0.01753748703,41.730345,-0.1501692736,-0.1061919331,1.241567,0.002581,2601
random_interior_005,8.0580403,5.2574263,9.070057,0.090825847,0.053025561,0.080972517,4.965234,19.618865,0.00291040782,10.075310,2.189405,20.820922,0.001283335645,10.321661,-0.01136736328,-0.008571656944,24.598169,-0.0586157261,-0.0556933854,1.488195,0.002047,2601
random_interior_006,2.8791528,6.039714,8.1715335,0.083361753,0.081843373,0.027938514,4.844735,18.499246,0.005952597066,10.617368,2.254761,19.399407,0.002770365231,10.617368,-0.02556275024,-0.01995901002,21.928574,-0.1228673431,-0.1188982595,1.081186,0.002184,2601
random_interior_007,2.2084693,4.0972762,9.7147012,0.075709557,0.064902041,0.035693889,4.874605,18.479797,0.008307147716,10.625285,2.246796,19.331540,0.003842512818,10.605525,-0.03572518038,-0.02765327597,22.603048,-0.1704168493,-0.1616124932,1.095476,0.002137,2601
random_interior_008,4.5671403,1.4803994,6.7376654,0.088071467,0.088747086,0.080066115,8.249527,38.598726,0.009677834715,31.413388,3.162924,37.630240,0.003710547199,32.285906,-0.02079693789,-0.01182434832,43.144983,-0.1173138161,-0.08046157139,1.347080,0.002042,2601
random_interior_009,3.5621546,4.4134487,3.2884498,0.06619971,0.027757041,0.053793528,6.710243,25.086625,0.01989731802,13.566892,2.887381,25.764820,0.008572509826,14.023943,-0.06371777917,-0.04399806481,30.948655,-0.2965215639,-0.2665837434,1.287960,0.001956,2601
random_interior_010,9.9442763,3.472368,9.710551,0.074812848,0.076269476,0.061990319,5.531489,22.538232,0.004116385387,14.567421,2.243848,22.352838,0.001669811502,14.567421,-0.01409372793,-0.01030720154,26.871540,-0.07441731733,-0.06357663306,1.344387,0.001935,2601
random_interior_011,2.2517327,2.4959046,5.8869823,0.098725415,0.082097745,0.028645579,6.079086,24.207834,0.01101323226,13.991757,2.510751,23.746246,0.004548624945,13.991757,-0.0358748128,-0.02567647244,28.432795,-0.1811659268,-0.1558176308,1.241817,0.001957,2601
random_interior_012,5.1184473,1.0969,7.0492138,0.031776628,0.099785387,0.050361267,8.916302,38.463528,0.02406682183,30.519565,3.446839,38.006761,0.009329290985,30.484476,-0.05350932082,-0.02998475593,43.966239,-0.269919325,-0.1875411215,1.237813,0.001968,2601
random_interior_013,8.0447173,2.0221482,4.8791174,0.069959052,0.061000577,0.02124066,5.546319,21.093024,0.01166947444,11.401581,2.565908,21.780994,0.005402714527,11.569546,-0.04350878343,-0.03261406599,25.040397,-0.2104003515,-0.1952954772,1.631028,0.002149,2601
random_interior_014,2.4382403,2.2561746,6.9013241,0.054027789,0.079953132,0.065369303,6.129826,23.708847,0.009575975909,12.467243,2.712528,23.883016,0.004237494591,12.467243,-0.03210778578,-0.02292085879,28.613358,-0.1562193811,-0.1388714776,1.486764,0.002141,2601
random_interior_015,3.9475596,2.986942,3.1224864,0.077494931,0.060915562,0.073031089,5.283005,20.746797,0.007798365647,10.691659,2.264118,21.548527,0.003342116234,10.931376,-0.02896053083,-0.02156692432,25.530039,-0.1476123048,-0.1404953433,1.482289,0.002156,2601
random_interior_016,1.6402559,2.5410632,2.4794423,0.046676955,0.083653014,0.087176541,5.470093,21.408228,0.01155658636,11.133021,2.547280,22.603454,0.005381602789,11.268902,-0.04225096654,-0.03120597085,26.141540,-0.2112685633,-0.2067349356,1.008803,0.002004,2601
random_interior_017,6.56331,6.8211888,3.1261501,0.056570159,0.052487082,0.05737729,6.318790,23.862869,0.01047756717,12.355931,2.807335,24.598678,0.004655011924,13.070836,-0.03468358429,-0.02454432169,29.234533,-0.1658160297,-0.1506020422,1.348569,0.002062,2601
random_interior_018,9.6285509,9.6894321,4.1653982,0.02353777,0.023238838,0.046568179,7.464939,28.125610,0.03764906765,17.900528,3.035340,28.316248,0.01544520757,17.885858,-0.1108985218,-0.07369313442,33.550986,-0.5043452567,-0.4494390759,0.981257,0.002081,2601
