case_id,e1,e2,e3,t1,t2,t3,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
random_interior_000,6.1210399,8.6794858,3.5461155,0.086535641,0.020388906,0.023249662,10.079642,43.544357,0.02334976713,40.868583,4.513620,45.448768,0.01046977753,42.136357,-0.05019185327,-0.02652725068,47.159250,-0.2316527408,-0.1369795492,1.146172,0.003048,2601
random_interior_001,5.7576975,6.64737,4.7130957,0.094479279,0.068759888,0.05052445,11.703738,55.027505,0.01024185846,55.016425,4.943805,55.131466,0.004326288762,55.016425,-0.01727717224,-0.007249235542,58.048705,-0.08750929424,-0.0393648089,1.206483,0.002140,2601
random_interior_002,7.3912276,3.5624324,7.953434,0.036052491,0.035996509,0.048741302,11.851365,55.770109,0.03054368209,58.327711,5.021518,56.611923,0.01301489763,59.156000,-0.05548809028,-0.02498849282,54.977530,-0.2577228976,-0.1073990312,1.392253,0.002063,2601
random_interior_003,2.2817562,5.8358486,4.6683454,0.073985075,0.099662534,0.032297389,13.120986,60.547181,0.01756506554,60.682616,5.695700,59.249924,0.007624833687,60.755445,-0.02774075845,-0.01076159464,61.210201,-0.1338700073,-0.05263418512,1.013643,0.002738,2601
random_interior_004,4.6176998,1.0245919,8.8369182,0.074347417,0.049898323,0.073415714,14.331401,69.999903,0.02152136075,71.325816,5.655964,70.442394,0.00850940419,71.953362,-0.03009560904,-0.008770232081,70.859339,-0.1501692736,-0.04305981415,1.234229,0.002090,2601
random_interior_005,8.0580403,5.2574263,9.070057,0.090825847,0.053025561,0.080972517,10.966431,52.421176,0.006428052915,52.864243,4.557443,53.989020,0.002671378287,52.864243,-0.01136736328,-0.004917171078,56.750846,-0.0586157261,-0.02762896607,1.518343,0.002104,2601
random_interior_006,2.8791528,6.039714,8.1715335,0.083361753,0.081843373,0.027938514,12.676550,57.993161,0.01557534054,57.402218,5.431609,56.996704,0.006673673689,58.085646,-0.02556275024,-0.01040987119,59.280395,-0.1228673431,-0.05233876276,1.123686,0.002231,2601
random_interior_007,2.2084693,4.0972762,9.7147012,0.075709557,0.064902041,0.035693889,13.738696,64.101920,0.02341305234,64.532981,5.966234,64.015676,0.01020356627,65.067523,-0.03572518038,-0.01256052762,64.842235,-0.1704168493,-0.06044177684,1.077478,0.002162,2601
random_interior_008,4.5671403,1.4803994,6.7376654,0.088071467,0.088747086,0.080066115,11.755479,61.768272,0.01379080118,62.834716,4.468275,61.354510,0.005241904287,63.602080,-0.02079693789,-0.007536498435,63.764127,-0.1173138161,-0.04360001302,1.358232,0.002123,2601
random_interior_009,3.5621546,4.4134487,3.2884498,0.06619971,0.027757041,0.053793528,13.492940,62.622077,0.0400094754,64.642028,5.968223,64.478606,0.01771939451,65.455286,-0.06371777917,-0.02334285952,63.376790,-0.2965215639,-0.1048440119,1.296288,0.002124,2601
