case_id,e1,e2,e3,t1,t2,t3,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
random_interior_000,6.1210399,8.6794858,3.5461155,0.086535641,0.020388906,0.023249662,10.079641,43.544351,0.02334976441,40.868549,4.513620,45.448767,0.01046977751,42.136332,-0.05019185327,-0.02652725091,47.159249,-0.2316527408,-0.1369796266,0.440916,0.118214,2601
random_interior_001,5.7576975,6.64737,4.7130957,0.094479279,0.068759888,0.05052445,11.703737,55.027502,0.01024185784,55.016436,4.943805,55.131467,0.00432628882,55.016436,-0.01727717224,-0.007249235548,58.048705,-0.08750929424,-0.03936479957,0.460149,0.003071,2601
random_interior_002,7.3912276,3.5624324,7.953434,0.036052491,0.035996509,0.048741302,11.851366,55.770114,0.03054368327,58.327711,5.021518,56.611925,0.01301489777,59.156036,-0.05548809028,-0.02498849236,54.977531,-0.2577228976,-0.1073990312,0.546272,0.002832,2601
random_interior_003,2.2817562,5.8358486,4.6683454,0.073985075,0.099662534,0.032297389,13.120985,60.547174,0.0175650642,60.682624,5.695700,59.249923,0.007624833716,60.755443,-0.02774075845,-0.01076159481,61.210200,-0.1338700073,-0.05263417479,0.403260,0.002441,2601
random_interior_004,4.6176998,1.0245919,8.8369182,0.074347417,0.049898323,0.073415714,14.331401,69.999901,0.02152136058,71.325820,5.655964,70.442393,0.008509404212,71.953374,-0.03009560904,-0.008770232193,70.859338,-0.1501692736,-0.04305980723,0.458357,0.002700,2601
random_interior_005,8.0580403,5.2574263,9.070057,0.090825847,0.053025561,0.080972517,10.966431,52.421174,0.006428052876,52.864243,4.557443,53.989016,0.002671378135,52.864243,-0.01136736328,-0.004917171488,56.750842,-0.0586157261,-0.02762896607,0.500935,0.002428,2601
random_interior_006,2.8791528,6.039714,8.1715335,0.083361753,0.081843373,0.027938514,12.676551,57.993162,0.01557534107,57.402210,5.431609,56.996707,0.006673673932,58.085625,-0.02556275024,-0.01040987064,59.280397,-0.1228673431,-0.05233877226,0.373077,0.002835,2601
random_interior_007,2.2084693,4.0972762,9.7147012,0.075709557,0.064902041,0.035693889,13.738696,64.101922,0.02341305248,64.532986,5.966234,64.015676,0.01020356631,65.067549,-0.03572518038,-0.01256052756,64.842235,-0.1704168493,-0.06044176798,0.414227,0.002316,2601
random_interior_008,4.5671403,1.4803994,6.7376654,0.088071467,0.088747086,0.080066115,11.755480,61.768276,0.01379080179,62.834704,4.468276,61.354513,0.00524190453,63.602104,-0.02079693789,-0.007536498025,63.764129,-0.1173138161,-0.04360002722,0.549660,0.002894,2601
random_interior_009,3.5621546,4.4134487,3.2884498,0.06619971,0.027757041,0.053793528,13.492939,62.622075,0.0400094732,64.642035,5.968223,64.478608,0.01771939484,65.455297,-0.06371777917,-0.02334285846,63.376792,-0.2965215639,-0.1048439908,0.479415,0.002579,2601
