case_id,e1,e2,e3,t1,t2,t3,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
random_interior_000,6.1210399,8.6794858,3.5461155,0.086535641,0.020388906,0.023249662,11.253979,60.147415,0.02607015115,70.002346,5.551311,62.786982,0.01287680251,70.577267,-0.05019185327,-0.02476002426,50.697193,-0.2316527408,-0.06961363879,0.436094,0.086154,2601
random_interior_001,5.7576975,6.64737,4.7130957,0.094479279,0.068759888,0.05052445,10.671985,62.465801,0.009338978874,74.063226,5.497506,64.881911,0.004810828676,74.063226,-0.01727717224,-0.008068371073,53.338139,-0.08750929424,-0.02269708784,0.417293,0.002888,2601
random_interior_002,7.3912276,3.5624324,7.953434,0.036052491,0.035996509,0.048741302,13.744280,70.340779,0.03542215584,77.779665,6.026471,71.640556,0.01561956175,78.584789,-0.05548809028,-0.02018361024,63.657229,-0.2577228976,-0.05726689127,0.495099,0.002222,2601
random_interior_003,2.2817562,5.8358486,4.6683454,0.073985075,0.099662534,0.032297389,13.035391,69.625824,0.01745047883,78.392701,6.417611,70.361455,0.008591256685,78.496207,-0.02774075845,-0.01099681736,60.384962,-0.1338700073,-0.02899031293,0.391154,0.002611,2601
random_interior_004,4.6176998,1.0245919,8.8369182,0.074347417,0.049898323,0.073415714,13.472139,73.287024,0.02023101354,81.122755,5.848786,74.821785,0.008799504346,81.846502,-0.03009560904,-0.009798854463,67.458186,-0.1501692736,-0.02834782226,0.433252,0.003003,2601
random_interior_005,8.0580403,5.2574263,9.070057,0.090825847,0.053025561,0.080972517,10.245405,61.701368,0.006005418243,73.639111,5.224671,65.056770,0.003062478609,73.639111,-0.01136736328,-0.005224449707,54.092324,-0.0586157261,-0.01545162668,0.462463,0.002771,2601
random_interior_006,2.8791528,6.039714,8.1715335,0.083361753,0.081843373,0.027938514,13.607447,71.690808,0.0167191082,79.782022,6.516022,72.432239,0.008006063406,80.582167,-0.02556275024,-0.009326567954,63.537086,-0.1228673431,-0.02484129221,0.342579,0.002523,2601
random_interior_007,2.2084693,4.0972762,9.7147012,0.075709557,0.064902041,0.035693889,14.304989,74.141122,0.02437811078,81.311386,6.748603,75.252325,0.01154158843,81.958666,-0.03572518038,-0.01167058682,67.348654,-0.1704168493,-0.03184854783,0.400064,0.002499,2601
random_interior_008,4.5671403,1.4803994,6.7376654,0.088071467,0.088747086,0.080066115,11.974537,73.342043,0.01404778667,82.489039,5.033596,73.622594,0.005905103826,82.489039,-0.02079693789,-0.007135339591,65.721718,-0.1173138161,-0.02054277661,0.493889,0.003077,2601
random_interior_009,3.5621546,4.4134487,3.2884498,0.06619971,0.027757041,0.053793528,12.175441,64.409604,0.03610280774,73.691781,5.980334,67.513030,0.01775535314,74.677451,-0.06371777917,-0.02732278868,57.133385,-0.2965215639,-0.07867112938,0.443004,0.002670,2601
random_interior_010,9.9442763,3.472368,9.710551,0.074812848,0.076269476,0.061990319,11.991533,70.045017,0.008923777044,79.805410,5.245025,71.061003,0.003903207144,79.892599,-0.01409372793,-0.005276691415,62.598435,-0.07441731733,-0.01502827245,0.512253,0.002219,2601
random_interior_011,2.2517327,2.4959046,5.8869823,0.098725415,0.082097745,0.028645579,13.263524,72.925722,0.02402898562,81.378991,6.050493,73.112465,0.01096143257,81.989118,-0.0358748128,-0.01261177276,64.865250,-0.1811659268,-0.0339005378,0.341585,0.002800,2601
random_interior_012,5.1184473,1.0969,7.0492138,0.031776628,0.099785387,0.050361267,15.223001,80.879108,0.04108982077,86.763056,6.207127,80.757993,0.0168003493,87.286862,-0.05350932082,-0.01315619994,75.424893,-0.269919325,-0.03573449474,0.376657,0.002397,2601
random_interior_013,8.0447173,2.0221482,4.8791174,0.069959052,0.061000577,0.02124066,13.513424,71.461216,0.02843229133,79.675334,6.049980,71.959179,0.01273869301,80.339917,-0.04350878343,-0.01580410851,63.707115,-0.2104003515,-0.04298075765,0.445502,0.002556,2601
random_interior_014,2.4382403,2.2561746,6.9013241,0.054027789,0.079953132,0.065369303,12.647265,68.699938,0.01975747926,77.650363,6.220993,70.733591,0.009718396685,78.568230,-0.03210778578,-0.01244151219,61.280611,-0.1562193811,-0.03493057441,0.410618,0.003158,2601
random_interior_015,3.9475596,2.986942,3.1224864,0.077494931,0.060915562,0.073031089,9.984105,60.046116,0.01473776684,72.424838,5.215070,63.460262,0.007698085177,72.424838,-0.02896053083,-0.01405567874,51.513320,-0.1476123048,-0.04087530636,0.431213,0.002734,2601
random_interior_016,1.6402559,2.5410632,2.4794423,0.046676955,0.083653014,0.087176541,10.664265,61.920731,0.0225302391,73.432547,5.694449,65.702286,0.01203058055,73.432547,-0.04225096654,-0.01941581572,54.098024,-0.2112685633,-0.05632354205,0.371795,0.002927,2601
random_interior_017,6.56331,6.8211888,3.1261501,0.056570159,0.052487082,0.05737729,12.206610,65.723503,0.02024051557,75.378082,6.068695,68.747055,0.01006286993,75.378082,-0.03468358429,-0.01429007529,58.821524,-0.1658160297,-0.04091451372,0.514961,0.002390,2601
random_interior_018,9.6285509,9.6894321,4.1653982,0.02353777,0.023238838,0.046568179,14.770901,73.048058,0.07449634023,79.276238,6.281017,74.283069,0.03196070504,80.303714,-0.1108985218,-0.03641625965,67.206877,-0.5043452567,-0.1045193087,0.340855,0.002492,2601
random_interior_019,2.0736725,4.0312146,2.0763109,0.020509289,0.051926494,0.029727167,14.524105,72.501017,0.145688905,79.059868,6.277395,73.296615,0.06351587192,79.525937,-0.2200338983,-0.07628271595,65.352166,-1.003083544,-0.2112913916,0.443556,0.003285,2601
random_interior_020,9.9964113,3.3176418,5.5912259,0.070239258,0.066188212,0.038169456,12.685777,69.251635,0.01553813431,78.452101,5.727607,70.368209,0.007015441066,78.770620,-0.02481165462,-0.009510705403,61.705808,-0.1224846856,-0.02641236005,0.482429,0.002287,2601
